Date,Time,North Price,West Price,South Price,Houston Price,North Load,West Load,South Load,Houston Load,North Predicted Load,West Predicted Load,South Predicted Load,Houston Predicted Load,Oil Price
01/04/2023,13:00,10.255,8.4125,9.95,9.975,14129.111296,7424.297119,9634.892716999999,10518.064332,15664.476711656238,7645.974206017711,11621.90949595151,12951.178270921535,72.82
01/04/2023,14:00,0.925,0.125,1.345,1.115,13786.271305999999,7389.130239,9735.682913,10701.476436,15187.210892045725,7540.581276743532,11482.233060801605,12817.366788211508,72.82
01/04/2023,15:00,3.96,0.2025,8.2225,6.215,13422.503737000001,7306.732276000001,9972.562799,10806.841529,14701.978838026145,7512.096757218765,11401.430439530315,12953.594160643655,72.82
01/04/2023,16:00,13.61,10.7125,16.7225,15.2725,13375.512784999999,7325.950304,10191.164795,10945.459917,14651.618417354495,7535.258527426138,11359.005877922207,12960.7195294288,72.82
01/04/2023,17:00,33.7175,104.175,37.3625,35.52,13562.792626999999,7306.837092,10384.04592,10930.58796,15183.849211439932,7598.339421225708,11711.662196129002,13392.478710788246,72.82
01/04/2023,18:00,34.745,95.85,37.9325,36.32,14123.419256000001,7195.7607720000005,10512.065139,10811.767056,15746.335473655537,7741.116683365157,12226.903527953637,14088.941262889903,72.82
01/04/2023,19:00,27.005,73.3175,29.4325,28.195,14914.615084000001,7258.052651000001,10789.634864,10866.506159,15294.614237513135,7678.326431020909,12130.634116188292,13739.976391728744,72.82
01/04/2023,20:00,25.7725,64.4425,27.8325,26.7875,15084.80775,7399.358155,10652.523507,10662.444702,15050.86106077491,7639.91717799212,11901.248815148901,13290.716531369864,72.82
01/04/2023,21:00,25.47,55.3975,27.12,26.2825,15155.072814,7532.392288,10392.061624,10469.924645,14610.303568743324,7585.273070442555,11609.962984688125,12727.691771719703,72.82
01/04/2023,22:00,23.0625,46.2225,24.3025,23.6725,14932.65602,7618.892952,10076.169691,10151.899524,14112.566028936455,7501.9993467041595,11079.960239235204,12321.096120972676,72.82
01/04/2023,23:00,22.6225,23.9575,22.695,22.6575,14292.775507,7599.226675,9503.497926,9642.795767,13355.37080470718,7352.939448288812,10566.931647358626,11764.922368283293,72.82
01/05/2023,00:00,23.6725,39.4175,24.5025,24.085,13811.821182,7482.796587000001,9011.596239,9206.381324,12330.025210810947,7320.333366914536,10425.005273516403,11432.027141959932,73.61
01/05/2023,01:00,27.38,27.38,27.38,27.38,13348.696174,7456.509505999999,8678.159813999999,8786.997532,12126.283206331831,7240.5555410675315,10109.40854280359,11099.510197822055,73.61
01/05/2023,02:00,30.25,76.1175,32.6575,31.4375,13324.942968,7519.521019,8510.104803999999,8644.820442,12008.531962667477,7216.445655834308,9871.711024203385,10975.993377248751,73.61
01/05/2023,03:00,28.515,85.7125,31.185,29.8125,13307.988564,7436.488821,8412.677993000001,8542.437364,11917.72765476294,7208.778577801958,9696.8713510714,10832.69817504966,73.61
01/05/2023,04:00,30.13,107.985,33.005,31.4975,13468.088775999999,7328.999447,8501.870789999999,8553.968506,11962.054828145687,7216.966007624696,9760.384528247227,10849.421522509916,73.61
01/05/2023,05:00,30.3875,106.255,31.5525,31.2875,14044.839112,7363.269891999999,8820.241996,8804.778993,12128.938389706997,7260.02730614907,9984.152021880873,10886.140297392527,73.61
01/05/2023,06:00,44.315,156.5475,43.4475,45.395,15226.034114999999,7533.838871,9469.316679,9388.831669,12431.173606819493,7293.250166455323,10265.21411568177,11303.267565554654,73.61
01/05/2023,07:00,57.3,202.795,50.195,56.4625,17011.491848,7695.180847,10520.47118,10241.085523,12745.220358450882,7346.208207570255,10500.955979314,11643.750156899388,73.61
01/05/2023,08:00,32.0175,165.3825,35.755,34.2575,17858.609282999998,7830.091042,11062.227356,10628.61004,12990.514482650518,7364.2534518758775,10708.402270210594,11792.349148518466,73.61
